NAME : SND14C16N14D5T20S
NODES : 16
PERIODS : 14
OUTSOURCING : 330
CAPACITY : 30
COMMODITIES : 14
VEHICLES : 2
SCENARIOS : 20
RELOADCOST : 10
MARGINALTRUCKCOST : 2
COST : 
8.00	13.89	21.02	32.56	17.20	14.14	11.40	26.42	22.02	23.09	28.32	12.04	8.06	29.15	18.11	24.74	
13.89	8.00	12.37	19.21	31.06	22.20	16.76	22.83	11.66	24.21	34.01	12.08	20.88	41.87	26.93	36.01	
21.02	12.37	8.00	15.30	37.01	21.02	28.07	34.93	22.20	16.28	28.07	10.63	24.76	50.12	37.66	35.47	
32.56	19.21	15.30	8.00	49.68	36.06	35.36	35.01	21.10	31.00	43.01	25.08	38.28	61.07	45.65	50.60	
17.20	31.06	37.01	49.68	8.00	20.40	21.02	37.12	37.64	32.76	31.40	26.63	12.53	15.03	17.89	18.87	
14.14	22.20	21.02	36.06	20.40	8.00	25.50	40.22	33.24	12.37	14.21	11.18	9.22	35.36	30.46	14.56	
11.40	16.76	28.07	35.36	21.02	25.50	8.00	16.49	18.03	34.01	39.70	21.84	18.03	27.20	10.30	34.44	
26.42	22.83	34.93	35.01	37.12	40.22	16.49	8.00	14.04	46.10	54.04	33.30	34.01	39.85	21.59	50.70	
22.02	11.66	22.20	21.10	37.64	33.24	18.03	14.04	8.00	35.81	45.62	23.71	30.00	45.22	27.59	46.27	
23.09	24.21	16.28	31.00	32.76	12.37	34.01	46.10	35.81	8.00	12.04	12.81	21.02	47.68	41.00	23.35	
28.32	34.01	28.07	43.01	31.40	14.21	39.70	54.04	45.62	12.04	8.00	21.93	22.83	46.17	44.29	15.81	
12.04	12.08	10.63	25.08	26.63	11.18	21.84	33.30	23.71	12.81	21.93	8.00	14.21	40.31	30.02	25.71	
8.06	20.88	24.76	38.28	12.53	9.22	18.03	34.01	30.00	21.02	22.83	14.21	8.00	26.93	21.47	16.76	
29.15	41.87	50.12	61.07	15.03	35.36	27.20	39.85	45.22	47.68	46.17	40.31	26.93	8.00	18.38	32.28	
18.11	26.93	37.66	45.65	17.89	30.46	10.30	21.59	27.59	41.00	44.29	30.02	21.47	18.38	8.00	35.38	
24.74	36.01	35.47	50.60	18.87	14.56	34.44	50.70	46.27	23.35	15.81	25.71	16.76	32.28	35.38	8.00	

DISTANCE : 
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																													                    
																																																																														                    
ORIGIN : 													
1	1	1	1	2	2	3	3	3	4	4	8	9	16
DESTINATION :       													
5	3	2	6	8	6	4	4	5	12	13	6	13	1												
AVAILABLE :         													
1	0	0	6	8	3	5	0	1	4	2	2	3	0
DELIVERED :         													
6	6	8	8	13	5	3	3	6	8	5	5	7	8
EOF
