#_prob       var_1    var_2    var_3    var_4    var_5    var_6    var_7    var_8    var_9    var_10    var_11    var_12    var_13    var_14     
0.050000 12.49833  6.54032 16.53678  7.85975  9.55035 14.38791  4.60944  3.19242  7.93609  1.18262 12.59977 11.03075  9.54245 14.80165  
0.050000  8.06164 20.38609 13.36532  9.67034  9.14262 12.46887 14.01328  6.29325 13.97585  6.28509  7.51399  9.51071 18.06448 11.45608
0.050000 13.01622 18.12448  6.48115 10.33615  9.93677  6.02566  7.98613  3.91758  8.79117  7.25303  6.38044  6.32531 14.87620  6.54032
0.050000 12.01431 21.87783 12.78719  3.41350  6.58287  3.34097  9.44664  2.35338 16.39768  2.64556  6.74659 10.61157 15.67018 19.17327
0.050000 10.31883 12.15730  4.24156  9.03931 10.99897  9.64936  8.50142  3.06318 19.48770  8.38663  5.59131 13.67779 10.71406 21.87783
0.050000 11.55846  8.93766 18.00101 17.10226 11.64321 13.35880 11.27819  3.60925 10.67658  2.04887  6.02476  7.40074 13.01622  4.62070
0.050000  9.93828  7.86260  8.12579 11.79954 10.65910  4.32320  6.18563  5.41897 11.91644  5.42731 11.92387 10.22917  7.37111 14.10533
0.050000  8.62307 24.04345 10.67780 12.61715 12.65870  8.49853  2.06051  5.77557 15.53730  7.79383  9.70152  2.77393 12.49833 16.33210
0.050000  7.37111 13.44539  7.34963 13.51338  4.99924 10.94799  8.98671  3.32619  9.48637  9.04994  8.33606 11.49978  8.06164 20.38609
0.050000 18.06448 17.18718 10.10119  6.25271  5.87271 11.67354  6.83887  4.87835 22.42916 12.13011  7.91750  8.31901  9.93828 12.81268
0.050000 13.57600  9.86731 15.52818 11.04311 11.94974 10.27673 11.82473  4.08404 11.28515  5.84469 16.86800  9.87294 16.64675 12.15730
0.050000 16.64675 16.33210 11.22428  4.44887 10.30560  5.54987  9.88564  3.75983 17.32765  6.75270 11.30727  5.69604  6.36862  9.86731
0.050000 10.71406 11.45608  2.44826  5.74189  8.24648 17.49128 13.14346  4.44988 18.34705 10.76045  8.77141  8.73680 11.12643  7.86260
0.050000 14.87620 14.80165 12.25231  5.16205  7.19697  7.96405 10.77960  2.61222 14.73317  3.92513 15.30635  4.07330 11.55846 13.44539
0.050000  9.10857 14.10533 14.70816 14.51621 12.26807  7.45177  3.56981  2.79051  6.69473  4.28000 10.20365 12.70929 10.31883  8.93766
0.050000 14.18961 10.69814 13.99905  8.43702 13.22579  4.99979  7.43480  5.12905 24.78448  5.02893  9.22563 12.04217  8.62307 15.54102
0.050000 11.12643 15.54102  8.83386  6.76970  8.70969 15.65369 12.43627  4.65429 20.80676  4.64710 13.35606  4.96835 13.57600 17.18718
0.050000  6.36862 12.81268 11.74589 15.67589 11.32662  9.05851 10.31832  4.26078 13.25811  3.55021  7.12410  6.88769  9.10857 18.12448
0.050000 15.67018 19.17327  9.48894  7.30474  3.73118  6.48445  5.45470  2.93547 10.08853  9.81700 14.23064  7.87539 12.01431 10.69814
0.050000  9.54245  4.62070  5.47684 19.17300  7.74580  6.95925 15.27605  3.46494 12.57304  3.13069 10.73681  9.13277 14.18961 24.04345
