#_prob       var_1    var_2    var_3    var_4    var_5    var_6    var_7    var_8    var_9    var_10    var_11    var_12    var_13    var_14    var_15    var_16    var_17    var_18    var_19    var_20    var_21    var_22    var_23    var_24    var_25    var_26    var_27    var_28    var_29    var_30    var_31    var_32    var_33    var_34    var_35    var_36    var_37    var_38    var_39    var_40 
0.016667 13.01622 14.56512 18.84598  5.74189  9.41699 12.75337  5.45470  6.08750 22.42916  3.27650 11.92387  9.75382 10.44880 13.88163 12.97459  5.16205  8.24648 11.67354  9.74145  5.92023 17.65627  4.64710  8.62430 11.49978 10.44880 19.17327 16.17101  5.36643 11.84863  4.04872 15.27605  3.75983  7.18809  5.15978 10.55529  7.87539 18.06448 21.87783  8.83386  9.88811
0.016667 16.64675 15.79845 13.78062 16.11290  6.79631 11.67354 11.10729  5.12905 17.99569  9.81700  6.74659  9.99050  9.67813 18.80875 10.10119 13.20447 11.32662  5.37647 11.27819  4.58422  7.93609  7.60845 13.09320  6.88769  7.85008 14.33309  6.48115  7.85975 12.51704  6.02566 14.36616  3.97203 23.08735  4.89991  7.38258  2.77393 14.18961 12.38043 14.70816 14.88178
0.016667 15.96938 19.95861 10.29706 14.88178  4.23515  4.04872  9.29584  3.60925 21.30383  6.28509  5.76345  4.39789 13.38412  7.45749 15.83719 11.79954  2.99941  8.86869  8.98671  3.70889 10.67658  4.04268  7.78140  7.06355 12.66686  5.38362 12.97459  8.04957 10.77383 10.71880  6.41079  4.38532 19.09126  4.16063 16.24735  5.69604 12.01431 20.38609 15.83719  3.82499
0.016667  7.09096 15.04295 16.17101 17.68093  9.00133  7.45177  5.18825  4.38532 15.53730  8.81940  6.87112 10.35313 11.41201  4.62070  3.74043  8.83557  9.28112  7.28551  5.70875  3.46494  9.69532  2.81656 14.23064 11.33676 10.31883  8.59876  8.12579 17.10226  8.24648  9.85411 13.14346  3.23649 15.26353  3.41610  6.62333 11.33676 11.12643 12.81268  1.41338  7.12428
0.016667 10.98693 14.10533  3.74043  8.63485  8.55896  4.99979  3.94684  4.51614 19.90352  5.98874 14.91624 11.18069 12.33355  6.54032 10.29706  9.45644  9.93677  6.32982 12.65920  5.41897 11.28515 10.76045  7.38258  9.75382 13.38412 13.23231 18.00101 10.56687  7.00065  6.79911 14.01328  5.52823 11.70333  9.81700  8.92060  4.69413  8.79181 19.17327  6.78300 13.83397
0.016667 10.71406 20.38609 10.48920 11.04311 11.53884 13.35880 10.46843  3.23649 14.47591  2.97776 15.74275  3.29034 13.19767 15.54102 15.23915 17.10226 12.51704  5.54987  5.45470  2.79051 12.79806  4.52318 10.92245  4.96835  8.06164 15.04295 14.46170  8.63485 12.65870 10.06314 10.31832  3.02102 13.73256  2.64556  7.51399  3.29034  6.76704 19.55559  3.16098 16.58499
0.016667 14.18961 13.88163 11.57456  5.91617 12.05060 18.55171 11.27819  5.31679 12.79806  4.28000  8.92060  4.96835  9.80997 17.48933  1.41338 14.51621 12.65870  6.95925 15.27605  6.59199 12.35118  1.80680  5.90340 11.18069 11.26808 10.15367  7.07199  9.67034 12.81717  7.79095  9.14261  5.12905 12.35118  5.84469  9.38167  8.17423  7.62153 15.04295 12.25231  3.41350
0.016667  9.54245 12.38043 14.70816 11.28927 12.38775  7.62022 13.40996  2.79051 19.09126  8.59868  6.50129  5.46665 14.63757 13.66177  8.36850 10.10998 11.84863 12.19474  7.98613  4.32232 24.78448  6.13549  6.87112 10.74670 12.49833 18.80875 18.84598 11.28927  9.28112 12.46887  2.66036  3.86411  8.52919  6.59350  8.19476 10.48049  9.54245 15.28930  7.34963 11.79954
0.016667 13.97811  5.38362 10.67780  9.67034  5.87271  6.95925  3.56981  2.88978  9.48637  8.18230 16.86800  6.32531 14.87620 18.45976 14.22574 15.26714  9.14262  4.56857 13.40996  4.26078 11.49294  9.04994  6.99694  7.87539  7.09096  9.26077  5.83083  6.76970  8.40464 18.55171  8.66627  3.14886 19.48770  5.70321 12.84155 11.85099  8.62307 17.48933  9.05753 10.56687
0.016667  8.79181 18.45976  5.09838 12.33689  4.99924 11.18318  6.83887  2.35338 19.48770  2.04887  5.90340  9.63310  9.54245 21.33684  3.16098  4.70751  5.31601 10.94799 12.89420  5.77557 20.34184  5.70321 12.59977  8.60015 11.55846 13.88163 12.60456  8.83557 10.42504  8.49853 11.45437  5.22045 17.65627  7.08220 10.92245  7.23444 14.40910 10.69814  4.68954  5.91617
0.016667 15.67018  9.26077  2.44826  2.81602 11.64321 11.92993  5.95197  3.28107 14.22356  3.41610  9.54021  4.69413 13.01622 18.12448 10.86304  8.24196  7.19697  6.02566  9.14261  3.51239 10.87706  5.29255  8.33606 11.85099 13.57600 18.45976 13.16715  9.88811  4.64488  4.56857  7.80672  3.41810 24.78448  0.68273 10.73681 10.74670 13.19767 17.80142  6.48115  8.63485
0.016667  9.25812 14.33309  9.48894 11.79954  6.35900  9.85411  4.29092  3.86411 14.99561 10.10605 13.35606  9.38657 17.50103 13.02239  9.05753  6.08410  6.79631 16.76096 14.01328  3.19242 20.80676  6.43770  6.74659  8.46093  5.79010 20.38609  7.61715  7.67240 10.65910  9.64936  4.90737  2.35338 11.07989  6.75270  5.76345  4.39789 14.63757  5.38362 12.60456  4.15954
0.016667 12.49833 11.69550 13.56961  7.30474  8.70969  5.19368  9.88564  3.56049 15.26353 10.76045  7.25263  2.77393 11.85946 13.23231 11.40073  5.36643  4.64488  5.19368  5.95197  4.14172 17.32765  5.15978 12.84155 10.88627 14.87620 13.66177 15.23915  3.41350 10.88710  8.31773 12.89420  4.32232  9.69532  6.91552  6.14220 10.22917  5.79010  9.86731 16.94595 10.80243
0.016667 18.88262  9.57011  8.36850  8.83557 10.99897  6.17690 11.63635  4.14172 11.49294  5.84469 15.30635  6.70640  9.40259  6.00389 13.36532  7.30474 12.15613 13.35880  8.16156  4.44988 19.90352  7.79383  9.86576  9.99050 10.71406 25.29318 11.40073 10.33615 11.10948 14.38791 12.43627  5.31679 12.13235  4.77266  8.77141  8.60015 18.88262  7.01985 13.56961  6.76970
0.016667  8.06164 20.84312  8.60434  4.15954  7.00065  9.25177  8.82798  2.53988 16.10391 11.14320 11.11249 12.46736 11.26808 14.33309 13.16715  3.82499 12.81717  9.44865  7.04314  2.97904  8.52919  4.89991 13.63176  9.63310 12.33355 14.80165  9.90138  3.82499  4.99924 13.04949 14.77419  4.14172  9.03621  9.29174 14.91624  8.02642  9.40259 16.06200 16.17101  6.94595
