
Ins: 16

CpuLS= 7.8065
ObjLS= 4286.51

Iteratuins= 204

_________End____________ 

Ins: 16

CpuLS= 12.0144
ObjLS= 4289.45

Iteratuins= 293

_________End____________ 

Ins: 16

CpuLS= 21.3669
ObjLS= 4304.88

Iteratuins= 414

_________End____________ 

Ins: 30

CpuLS= 355.086
ObjLS= 4546.09

Iteratuins= 804

_________End____________ 

Ins: 16

CpuLS= 16.4359
ObjLS= 4304.13

Iteratuins= 419

_________End____________ 

Ins: 30

CpuLS= 256.548
ObjLS= 4544.06

Iteratuins= 562

_________End____________ 

Ins: 16

CpuLS= 3.01685
ObjLS= 4304.54

Iteratuins= 36

_________End____________ 

Ins: 30

CpuLS= 18.8784
ObjLS= 4545.71

Iteratuins= 27

_________End____________ 

Ins: 16

CpuLS= 2.89654
ObjLS= 4304.54

Iteratuins= 36

_________End____________ 

Ins: 30

CpuLS= 19.1148
ObjLS= 4545.71

Iteratuins= 27

_________End____________ 

Ins: 16

CpuLS= 8.83149
ObjLS= 4302.56

Iteratuins= 37

_________End____________ 

Ins: 16

CpuLS= 3.12176
ObjLS= 4304.59

Iteratuins= 102

_________End____________ 

Ins: 30

CpuLS= 24.0843
ObjLS= 4544.23

Iteratuins= 67

_________End____________ 

Ins: 30

CpuLS= 104.442
ObjLS= 4544.02

Iteratuins= 186

_________End____________ 

Ins: 16

CpuLS= 2.08521
ObjLS= 4305.81

Iteratuins= 30

_________End____________ 

Ins: 30

CpuLS= 15.7863
ObjLS= 4545.64

Iteratuins= 26

_________End____________ 

Ins: 16

CpuLS= 3.41733
ObjLS= 4305.68

Iteratuins= 101

_________End____________ 

Ins: 30

CpuLS= 27.5154
ObjLS= 4545.05

Iteratuins= 72

_________End____________ 

Ins: 16

CpuLS= 10.6015
ObjLS= 4304.32

Iteratuins= 43

_________End____________ 

Ins: 30

CpuLS= 21.8824
ObjLS= 4543.73

Iteratuins= 37

_________End____________ 

Ins: 16

CpuLS= 9.37729
ObjLS= 4304.54

Iteratuins= 36

_________End____________ 

Ins: 30

CpuLS= 25.8089
ObjLS= 4545.71

Iteratuins= 27

_________End____________ 

Ins: 16

CpuLS= 9.27539
ObjLS= 4304.54

Iteratuins= 38

_________End____________ 

Ins: 30

CpuLS= 15.8027
ObjLS= 4545.2

Iteratuins= 26

_________End____________ 

Ins: 16

CpuLS= 7.5978
ObjLS= 4301.6

Iteratuins= 33

_________End____________ 

Ins: 30

CpuLS= 16.737
ObjLS= 4544.37

Iteratuins= 47

_________End____________ 

Ins: 16

CpuLS= 8.3716
ObjLS= 4303.61

Iteratuins= 37

_________End____________ 

Ins: 30

CpuLS= 11.9745
ObjLS= 4542.72

Iteratuins= 33

_________End____________ 

Ins: 16

CpuLS= 9.32353
ObjLS= 4304.54

Iteratuins= 38

_________End____________ 

Ins: 30

CpuLS= 16.6154
ObjLS= 4545.69

Iteratuins= 27

_________End____________ 

Ins: 16

CpuLS= 9.08461
ObjLS= 4301.51

Iteratuins= 624

_________End____________ 

Ins: 30

CpuLS= 1.15347
ObjLS= 0

Iteratuins= 102

_________End____________ 

Ins: 16

CpuLS= 8.83999
ObjLS= 4305.62

Iteratuins= 49

_________End____________ 

Ins: 30

CpuLS= 14.0944
ObjLS= 4541.65

Iteratuins= 39

_________End____________ 

Ins: 16

CpuLS= 4.25962
ObjLS= 4304.53

Iteratuins= 62

_________End____________ 

Ins: 30

CpuLS= 20.649
ObjLS= 4544.68

Iteratuins= 105

_________End____________ 

Ins: 16

CpuLS= 8.41113
ObjLS= 4302.02

Iteratuins= 59

_________End____________ 

Ins: 30

CpuLS= 21.4627
ObjLS= 4546.16

Iteratuins= 99

_________End____________ 

Ins: 16

CpuLS= 10.3875
ObjLS= 4303.43

Iteratuins= 395

_________End____________ 

Ins: 30

CpuLS= 0.963427
ObjLS= 0

Iteratuins= 102

_________End____________ 

Ins: 16

CpuLS= 10.1871
ObjLS= 4302.03

Iteratuins= 265

_________End____________ 

Ins: 30

